ID_HECHO,CANT_VICTIMAS,FECHA_SINIESTRO,AÑO_S,MES_S,DIA_S,HORA,TIPO_DE_CALLE,NOMBRE_CALLE_AV,COMUNA,VEH_INVOLUCRADOS,VEH_AFECTADO,VEH_ACUSADO,FECHA_FALLECIMIENTO,AÑO_F,MES_F,DIA_F,ROL,VEH_FALLECIDO,SEXO,EDAD
2020-0038,2,2020-08-30,2020,8,30,4,AVENIDA,LAS HERAS GENERAL AV.,14,AUTO-AUTO,AUTO,AUTO,2020-08-30 00:00:00,2020,8,30,CONDUCTOR,AUTO,MASCULINO,46
2020-0038,2,2020-08-30,2020,8,30,4,AVENIDA,LAS HERAS GENERAL AV.,14,AUTO-AUTO,AUTO,AUTO,2020-08-30 00:00:00,2020,8,30,CONDUCTOR,AUTO,MASCULINO,64
2020-0039,1,2020-09-01,2020,9,1,19,CALLE,MURGUIONDO,9,PEATON-CARGAS,PEATON,CARGAS,2020-09-01 00:00:00,2020,9,1,PEATON,PEATON,MASCULINO,44
2020-0040,1,2020-09-12,2020,9,12,3,AVENIDA,"CASTILLO, RAMON S., PRES. AV.",2,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2020-09-12 00:00:00,2020,9,12,CONDUCTOR,AUTO,MASCULINO,SD
2020-0041,1,2020-09-28,2020,9,28,1,AVENIDA,CURAPALIGUE,7,MOTO-PASAJEROS,MOTO,PASAJEROS,2020-09-28 00:00:00,2020,9,28,CONDUCTOR,MOTO,MASCULINO,34
2020-0042,1,2020-09-29,2020,9,29,17,AVENIDA,"DIAZ, ANA",8,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-09-29 00:00:00,2020,9,29,PEATON,PEATON,FEMENINO,53
2020-0043,1,2020-09-30,2020,9,30,17,AVENIDA,"ALEM, LEANDRO N. AV.",1,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-09-30 00:00:00,2020,9,30,PEATON,PEATON,MASCULINO,64
2020-0044,1,2020-10-05,2020,10,5,0,AVENIDA,LA PLATA AV.,6,AUTO-AUTO,AUTO,AUTO,2020-10-05 00:00:00,2020,10,5,CONDUCTOR,AUTO,MASCULINO,43
2020-0045,1,2020-10-19,2020,10,19,3,GRAL PAZ,"PAZ, GRAL. AV.",8,AUTO-CARGAS,AUTO,CARGAS,2020-10-19 00:00:00,2020,10,19,CONDUCTOR,AUTO,MASCULINO,50
2020-0046,1,2020-10-27,2020,10,27,21,AVENIDA,NAZCA AV.,11,MOTO-MOTO,MOTO,MOTO,2020-10-27 00:00:00,2020,10,27,CONDUCTOR,MOTO,MASCULINO,41
2020-0047,1,2020-10-27,2020,10,27,14,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,9,PEATON-CARGAS,PEATON,CARGAS,2020-10-27 00:00:00,2020,10,27,PEATON,PEATON,MASCULINO,15
2020-0048,1,2020-10-29,2020,10,29,20,AVENIDA,DORREGO AV.,15,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-10-29 00:00:00,2020,10,29,CONDUCTOR,MOTO,MASCULINO,41
2020-0049,1,2020-10-30,2020,10,30,20,AVENIDA,DEL LIBERTADOR AV.,1,PEATON-AUTO,PEATON,AUTO,2020-10-30 00:00:00,2020,10,30,PEATON,PEATON,MASCULINO,36
2020-0050,1,2020-11-01,2020,11,1,22,AVENIDA,SANTA FE AV.,14,PEATON-MOTO,PEATON,MOTO,2020-11-01 00:00:00,2020,11,1,PEATON,PEATON,FEMENINO,28
2020-0051,1,2020-11-05,2020,11,5,0,AVENIDA,AVELLANEDA AV.,10,MOTO-AUTO,MOTO,AUTO,2020-11-05 00:00:00,2020,11,5,CONDUCTOR,MOTO,MASCULINO,49
2020-0052,1,2020-11-07,2020,11,7,6,AVENIDA,TUCUMAN,3,BICICLETA-CARGAS,BICICLETA,CARGAS,2020-11-07 00:00:00,2020,11,7,CICLISTA,BICICLETA,MASCULINO,44
2020-0053,1,2020-11-09,2020,11,9,3,AVENIDA,"ALCORTA, AMANCIO AV.",4,AUTO-AUTO,AUTO,AUTO,2020-11-09 00:00:00,2020,11,9,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,27
2020-0054,1,2020-11-19,2020,11,19,9,CALLE,INCLAN,4,BICICLETA-AUTO,BICICLETA,AUTO,2020-11-23 00:00:00,2020,11,19,CICLISTA,BICICLETA,MASCULINO,59
2020-0055,1,2020-11-19,2020,11,19,12,AVENIDA,OLAZABAL AV.,12,PEATON-CARGAS,PEATON,CARGAS,2020-12-11 00:00:00,2020,11,19,PEATON,PEATON,MASCULINO,91
2020-0056,1,2020-11-21,2020,11,21,13,GRAL PAZ,"PAZ, GRAL. AV.",8,MOTO-CARGAS,MOTO,CARGAS,2020-11-21 00:00:00,2020,11,21,CONDUCTOR,MOTO,FEMENINO,34
2020-0057,1,2020-11-23,2020,11,23,7,AVENIDA,NAZCA AV.,11,PEATON-AUTO,PEATON,AUTO,2020-11-23 00:00:00,2020,11,23,PEATON,PEATON,MASCULINO,84
2020-0058,1,2020-11-24,2020,11,24,16,AVENIDA,OLIVERA AV.,10,PEATON-AUTO,PEATON,AUTO,2020-11-25 00:00:00,2020,11,24,PEATON,PEATON,MASCULINO,57
2020-0059,1,2020-12-01,2020,12,1,6,CALLE,BRASIL,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-12-14 00:00:00,2020,12,1,PEATON,PEATON,FEMENINO,49
2020-0060,1,2020-12-03,2020,12,3,20,AVENIDA,HOMERO,9,PEATON-MOTO,PEATON,MOTO,2020-12-03 00:00:00,2020,12,3,PEATON,PEATON,FEMENINO,69
2020-0061,1,2020-12-03,2020,12,3,14,AUTOPISTA,"CANTILO, INT.",13,MOTO-CARGAS,MOTO,CARGAS,2020-12-04 00:00:00,2020,12,3,CONDUCTOR,MOTO,MASCULINO,45
2020-0062,1,2020-12-04,2020,12,4,17,CALLE,MORENO,3,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2020-12-04 00:00:00,2020,12,4,CICLISTA,BICICLETA,MASCULINO,47
2020-0063,2,2020-12-05,2020,12,5,7,CALLE,NUEVA YORK,11,PEATON_MOTO-MOTO,PEATON_MOTO,MOTO,2020-12-05 00:00:00,2020,12,5,PEATON,PEATON,MASCULINO,38
2020-0063,2,2020-12-05,2020,12,5,7,CALLE,NUEVA YORK,11,PEATON_MOTO-MOTO,PEATON_MOTO,MOTO,2020-12-05 00:00:00,2020,12,5,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
2020-0065,1,2020-12-05,2020,12,5,16,GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-AUTO,MOTO,AUTO,2020-12-06 00:00:00,2020,12,5,CONDUCTOR,MOTO,MASCULINO,24
2020-0066,1,2020-12-07,2020,12,7,4,AUTOPISTA,AUTOPISTA PERITO MORENO,10,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-12-07 00:00:00,2020,12,7,CONDUCTOR,MOTO,MASCULINO,27
2020-0067,1,2020-12-11,2020,12,11,22,AVENIDA,SAENZ AV.,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-12-11 00:00:00,2020,12,11,PEATON,PEATON,MASCULINO,51
2020-0068,1,2020-12-12,2020,12,12,20,AVENIDA,DEL LIBERTADOR AV.,2,MOTO-AUTO,MOTO,AUTO,2020-12-20 00:00:00,2020,12,12,CONDUCTOR,MOTO,MASCULINO,71
2020-0069,1,2020-12-15,2020,12,15,5,AVENIDA,INDEPENDENCIA AV.,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2020-12-15 00:00:00,2020,12,15,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25
2020-0070,1,2020-12-17,2020,12,17,15,AVENIDA,CALLAO AV.,2,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-12-22 00:00:00,2020,12,17,PEATON,PEATON,FEMENINO,81
2020-0071,1,2020-12-17,2020,12,17,23,AVENIDA,SAN PEDRITO AV.,7,PEATON-AUTO,PEATON,AUTO,2020-12-17 00:00:00,2020,12,17,PEATON,PEATON,MASCULINO,4
2020-0072,1,2020-12-19,2020,12,19,3,AVENIDA,JUJUY AV.,3,BICICLETA-AUTO,BICICLETA,AUTO,2020-12-19 00:00:00,2020,12,19,CICLISTA,BICICLETA,MASCULINO,42
2020-0073,1,2020-12-20,2020,12,20,7,AVENIDA,27 DE FEBRERO AV.,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-12-20 00:00:00,2020,12,20,CONDUCTOR,MOTO,MASCULINO,56
2020-0074,1,2020-12-20,2020,12,20,21,AVENIDA,BOGOTA,7,AUTO-AUTO,AUTO,AUTO,2020-12-20 00:00:00,2020,12,20,CONDUCTOR,AUTO,MASCULINO,39
2020-0075,1,2020-12-23,2020,12,23,14,AVENIDA,CORRIENTES AV.,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-12-23 00:00:00,2020,12,23,PEATON,PEATON,MASCULINO,23
2020-0076,1,2020-12-24,2020,12,24,12,AVENIDA,ALVAREZ JONTE AV.,10,AUTO-PASAJEROS,AUTO,PASAJEROS,2021-01-17 00:00:00,2020,12,24,CONDUCTOR,AUTO,FEMENINO,78
2020-0077,2,2020-12-25,2020,12,25,6,AVENIDA,SAN MARTIN AV.,15,MOTO-AUTO,MOTO,AUTO,2020-12-25 00:00:00,2020,12,25,CONDUCTOR,MOTO,FEMENINO,30
2020-0077,2,2020-12-25,2020,12,25,6,AVENIDA,SAN MARTIN AV.,15,MOTO-AUTO,MOTO,AUTO,2020-12-25 00:00:00,2020,12,25,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,24
2020-0078,1,2020-12-25,2020,12,25,5,CALLE,BARCO CENTENERA DEL,7,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2020-12-25 00:00:00,2020,12,25,CICLISTA,BICICLETA,MASCULINO,26
2020-0079,1,2020-12-27,2020,12,27,4,GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-12-27 00:00:00,2020,12,27,CONDUCTOR,MOTO,MASCULINO,28
2021-0001,1,2021-01-06,2021,1,6,18,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,MOTO-AUTO,MOTO,AUTO,2021-01-06 00:00:00,2021,1,6,CONDUCTOR,MOTO,MASCULINO,36
2021-0002,1,2021-01-07,2021,1,7,10,AVENIDA,"CASTRO, EMILIO AV.",9,MOTO-CARGAS,MOTO,CARGAS,2021-01-07 00:00:00,2021,1,7,CONDUCTOR,MOTO,FEMENINO,47
2021-0003,1,2021-01-10,2021,1,10,7,AUTOPISTA,AUTOPISTA 25 DE MAYO,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-01-10 00:00:00,2021,1,10,CONDUCTOR,MOTO,MASCULINO,27
2021-0004,1,2021-01-11,2021,1,11,9,AVENIDA,CASEROS AV.,5,PEATON-CARGAS,PEATON,CARGAS,2021-01-11 00:00:00,2021,1,11,PEATON,PEATON,FEMENINO,61
2021-0005,1,2021-01-11,2021,1,11,21,AVENIDA,"PERON, EVA AV.",9,PEATON-AUTO,PEATON,AUTO,2021-01-14 00:00:00,2021,1,11,PEATON,PEATON,MASCULINO,73
2021-0006,1,2021-01-12,2021,1,12,21,AUTOPISTA,AUTOPISTA ARTURO ILLIA,14,MOTO-CARGAS,MOTO,CARGAS,2021-01-12 00:00:00,2021,1,12,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23
2021-0007,1,2021-01-18,2021,1,18,10,AVENIDA,DE LOS CONSTITUYENTES AV.,15,MOTO-MOTO,MOTO,MOTO,2021-01-26 00:00:00,2021,1,18,CONDUCTOR,MOTO,MASCULINO,84
